Title,Director,Cast,Genre
*Waris Shah: Ishq Daa Waaris*,Manoj Punj,"Gurdas Mann, Juhi Chawla, Divya Dutta",
*Woh Lamhe*,,"Shiney Ahuja, Kangana Ranaut","Drama, Romance"
*Yun Hota Toh Kya Hota*,,"Ayesha Takia, Konkona Sen Sharma, Paresh Rawal",Drama
*Zinda*,Sanjay Gupta,"Sanjay Dutt, John Abraham, Lara Dutta, Celina Jaitley",Thriller
*Zindaggi Rocks*,Tanuja Chandra,"Sushmita Sen, Shiny Ahuja",Drama
*7½ Phere*,Ishaan Trvedi,"Juhi Chawla, Irfan Khan",Comedy
*Aashiq Banaya Aapne*,,"Emraan Hashmi, Tanushree Dutta, Sonu Sood","Romance, Drama"
*American Daylight*,Roger Christian,"Nick Moran, Koel Purie, Vijay Raaz, Gulshan Grover","Comedy, Drama, Romance"
*Anjaane*,,"Manisha Koirala, Sanjay Kapoor",Thriller
*Antarmahal*,,"Jackie Shroff, Soha Ali Khan, Abhishek Bachchan, Raima Sen","Drama, Romance"
*Apaharan*,,"Ajay Devgan, Bipasha Basu, Nana Patekar",Drama
*Bachke Rehna Re Baba*,,"Rekha, Mallika Sherawat, Paresh Rawal, Karan Khanna, Satish Shah",Comedy
*Bad Friend*,Aditya Om,"Meghna Naidu, Aditya Om, Shweta Menon",Thriller
*Barsaat*,Suneel Darshan,"Bobby Deol, Bipasha Basu, Priyanka Chopra","Romance, Drama, Family"
*Bewafaa*,Dharmesh Darshan,"Akshay Kumar, Sushmita Sen, Kareena Kapoor, Shamita Shetty, Anil Kapoor, Manoj 
Bajpai",Drama
*Bhaggmati*,Ashok Kaul,"Hema Malini Milind Soman, Tabu Ashok Kaul",Romance
*Bhola In Bollywood*,Sumbul Gazi,"Ali Asgar, Siraj Khan, Avtar Gill, Raj Babbar",Comedy
*Black*,Sanjay Leela Bhansali,"Amitabh Bachchan, Rani Mukerji",Drama
*Black Friday*,,"Kay Kay Menon, Pavan Malhotra",Drama
*Blackmail*,Anil Devgan,"Sunil Shetty, Ajay Devgan, Priyanka Chopra, Dia Mirza","Thriller, Drama"
*Bluffmaster!*,,"Abhishek Bachchan, Priyanka Chopra, Nana Patekar, Riteish Deshmukh, Boman 
Irani",Comedy
*Brides Wanted*,,"Anuj Sawhney, Sarah-Jane Dias, Waheeda Rehman, Girish Karnad",Comedy
*Bullet Ek Dhamaka*,,"Iqbal Khan, Asseem Merchant, Asad Sikandar, Saadhika",Action
*Bunty Aur Babli*,Shaad Ali,"Amitabh Bachchan, Abhishek Bachchan, Rani Mukerji","Comedy, Crime"
*Chaahat – Ek Nasha*,Jai Prakash,"Manisha Koirala, Aryan Vaid, Preeti Jhangiani",Romance
*Chand Sa Roshan Chehra*,,"Samir Aftab, Tamanna Bhatia",Romance
*Chausar*,Sagar Sarhadi,,
*Chehraa*,,"Bipasha Basu, Dino Morea, Preeti Jhangiani, Irrfan Khan",Thriller
*Chetna*,,"Jatin Grewal, Payal Rohatgi, Navneet Kaur",Erotic Drama
*Chocolate*,Vivek Agnihotri,"Sunil Shetty, Anil Kapoor, Tanushree Dutta, Arshad Warsi, Emraan Hashmi, Irrfan 
Khan, Sushama Reddy","Action, Thriller, Suspense"
*Chor Mandi*,,"Mukul Dev, Razzak Khan, Shweta Keswani",Comedy
