Title,Director,Cast,Genre
*Oh My Anand*,Angad Keet,"Su Paman, Ramorous Kumar",Comedy
*Om Shanti Om*,Farah Khan,"Shahrukh Khan, Deepika Padukone, Shreyas Talpade, Arjun Rampal, Kiron Kher, Javed 
Sheikh, Bindu, Yuvika Chaudhary, Satish Shah","Action, Romance, Comedy, Drama"
*Partner*,David Dhawan,"Salman Khan, Govinda, Lara Dutta, Katrina Kaif, Aarti Chabria, Rajpal Yadav, 
Dalip Tahil","Comedy, Romance"
*Ram Gopal Varma Ki Aag*,Ram Gopal Varma,"Amitabh Bachchan, Ajay Devgan, Sushmita Sen, Nisha Kothari, Mohanlal, Prashant 
Raj Sachdev, Rajpal Yadav","action, Thriller"
*Raqeeb*,Raj Kanwar,"Rahul Khanna, Jimmy Shergill, Sharman Joshi, Tanushree Dutta",Romance
*Red: The Dark Side*,Vikram Bhatt,"Aftab Shivdasani, Amrita Arora, Celina Jaitley",Thriller
*Red Swastik*,Vinod Pande,"Sherlyn Chopra, Deepshika",Thriller
*Risk*,Vishram Sawant,"Vinod Khanna, Randeep Hooda, Tanushree Dutta, Seema Biswas","action, Drama"
*Salaam-e-Ishq: A Tribute to Love*,Nikhil Advani,"Salman Khan, Akshaye Khanna, Priyanka Chopra, Anil Kapoor, Ayesha Takia, Juhi 
Chawla, Vidya Balan, John Abraham, Sohail Khan, Isha Koppikar, Govinda, Shannon 
Esra",Romance
*Saawariya*,Sanjay Leela Bhansali,"Ranbir Kapoor, Sonam Kapoor, Rani Mukerji, Salman Khan","Drama, Romance"
*Sarhad Paar*,,"Sanjay Dutt, Tabu, Mahima Chaudhary, Chandrachur Singh",Patriotic
*Sambar Salsa*,,Rishi Kapoor,
*Say Salaam India*,Subhash kapoor,"Sanjay Suri, Sandhya Mridul, Milind Soman",Cricket
*Speed*,Vikram Bhatt,"Sanjay Suri, Zayed Khan, Urmila Matondkar, Sophie Choudry, Aftab Shivdasani, 
Tanushree Dutta, Amrita Arora, Aashish Chaudhary",Thriller
*Shakalaka Boom Boom*,Suneel Darshan,"Bobby Deol, Upen Patel, Kangana Ranaut, Celina Jaitley","Drama, Social, Musical, Romance"
*Shootout at Lokhandwala*,Apoorva Lakhia,"Amitabh Bachchan, Sanjay Dutt, Arbaaz Khan, Vivek Oberoi, Sunil Shetty, Tusshar 
Kapoor, Abhishek Bachchan, Neha Dhupia, Diya Mirza, Rakhi Sawant, Aarti 
Chabria, Amrita Singh","action, Crime, Drama"
*Showbiz*,Raju Khan,"Tushar Jalota, Mrinalini Sharma",
*Strangers*,Anand Rai,"Jimmy Shergill, Kay Kay Menon, Nandana Sen, Sonali Kulkarni",
*Sunglass*,Rituparno Ghosh,"Konkona Sen Sharma, R. Madhavan, Raima Sen",
*Swami*,Ganesh Acharya,"Manoj Bajpai, Juhi Chawla",Drama
*Taare Zameen Par*,Aamir Khan,"Aamir Khan, Darsheel Safary, Tisca Chopra",Drama
*Ta Ra Rum Pum*,Siddharth Anand,"Saif Ali Khan, Rani Mukerji, Javed Jaffrey, Aarti Chabria","Romance, Drama, Social"
*The Blue Umbrella*,Vishal Bhardwaj,"Shreya Sharma, Pankaj Kapur",
*The Train*,"Hasnain Hyderabadwala, Raksha Mistry","Emraan Hashmi, Geeta Basra, Sayali Bhagat",
*Traffic Signal*,Madhur Bhandarkar,"Kunal Khemu, Konkona Sen Sharma, Gopal K Singh",Drama
*Victoria No. 203*,Anant Mahadevan,"Om Puri, Anupam Kher, Jimmy Shergill, Preeti Jhangiani",Comedy
*Welcome*,Anees Bazmee,"Akshay Kumar, Nana Patekar, Anil Kapoor, Katrina Kaif, Mallika Sherawat, Paresh 
Rawal, Feroz Khan",Comedy
*Yatra*,Gautam Ghose,"Rekha, Nana Patekar, Deepti Naval",
*Zamaanat*,S. Ramanathan,"Amitabh Bachchan, Arshad Warsi, Karisma Kapoor",Drama
