Title,Director,Cast,Genre
*Waqt Hamara Hai*,Bharat Rangacharya,"Akshay Kumar, Sunil Shetty, Ayesha Jhulka",Drama
*Woh Chokri*,Subhankar Ghosh,"Pallavi Joshi, Neena Gupta",Drama
*Yaar Gaddar*,Umesh Mehra,"Saif Ali Khan, Shweta, Somy Ali",
*Yeh Dillagi*,Naresh Malhotra,"Akshay Kumar, Saif Ali Khan, Kajol",Romance
*Yuhi Kabhi*,Kumar Bhatia,"Tinnu Anand, Master Bhagwan, Kumar Bhatia","Comedy, Drama"
*Zaalim*,Sikander Bharti,"Akshay Kumar, Madhoo",Action
*Zakhmi Dil*,Raju Subramanian,"Akshay Kumar, Ashwini Bhave, Ravi Kishan","Action, Romance"
*Zamane Se Kya Darna*,Bobby Raj,"Sanjay Dutt, Raveena Tandon, Alok Nath",Family
*Zid*,Esmayeel Shroff,"[[Haribol kumar 

]], Raageshwari, Mala Sinha||",
"*Aadhi Haqeeqat, Aadha Fasana*",Dilip Ghosh,,
*Aag Ka Dariya*,S.V. Rajendra Singh,"Dilip Kumar, Rekha, Padmini Kolhapure, Amrita Singh",Drama
*Aag Ka Gola*,David Dhawan,"Sunny Deol, Dimple Kapadia, Archana Puran Singh",Action
*Aaj Ka Arjun*,K.C. Bokadia,"Amitabh Bachchan, Jayapradha","Action, Drama"
*Aaj Ke Shahenshah*,Shibu Mitra,"Raj Babbar, Jeetendra, Kimi Katkar",
*Aakhri Sangam*,,"Nirosha, Aurn Pandian, Ramki","Action, Romance"
*Aandhiyan*,David Dhawan,"Shatrughan Sinha, Mumtaz",
*Aashiqui*,Mahesh Bhatt,"Rahul Roy, Anu Agarwal","Romance, Drama"
*Awaaz De Kahan Hai*,Sibte Hassan Rizvi,"Bindu, Annu Kapoor, Satyendra Kapoor",
*Abu Kaliya*,C.K. Kader,,
*Agneekaal*,,"Sadashiv Amrapurkar, Tinnu Anand, Raj Babbar","Action, Crime, Drama"
*Agneepath*,Mukul S. Anand,"Amitabh Bachchan, Madhavi, biswa roy, Neelam",Action
*Amba*,Mohan Kumar,"Shabana Azmi, Anil Kapoor, Meenakshi Sheshadri",Family
*Amiri Garibi*,Harmesh Malhotra,"Jeetendra, Rekha, Rishi Kapoor",Family
*Andher Gardi*,Ashok Tyagi,Kimi Katkar,
*Apmaan Ki Aag*,Talukdaars,"Adil Amaan, Rakesh Bedi, Dasharat","Action, Comedy, Crime"
*Appu Raja*,Singeetham Srinivasa Rao,"Kamal Hassan, Rupini, Gouthami, Srividya, Nagesh",Comedy
*Atishbaz*,Mukhtar Ahmed,"Tom Alter, Renu Arya, Prem Chopra",
*Attilokasundari*,,Sridevi,
*Awaargi*,Mahesh Bhatt,"Anil Kapoor, Govinda, Paresh Rawal, Meenakshi Sheshadri",Drama
*Awaragardi*,Swaroop Kumar,"Kimi Katkar, Raza Murad, Aditya Pancholi",
*Awwal Number*,Dev Anand,"Dev Anand, Aamir Khan, Ekta Sohini",Action
*Azaad Desh Ke Gulam*,S.A. Chandrashekhar,"Vikas Anand, Rakesh Bedi, Suresh Bhagwat, Pran","Action, Family"
*Baaghi: A Rebel for Love*,Deepak Shivdasani,"Salman Khan, Naghma","Action, Romance"
*Baap Numbri Beta Dus Numbri*,,"Jackie Shroff, Farah, Aditya Pancholi,Sabeeha","Action, Crime, Comedy"
*Bahaar Aane Tak*,Tariq Shah,"Roopali Ganguly, Ram Mohan, Navin Nischol",Family
*Bandh Darwaza*,"Shyam Ramsay, Tulsi Ramsay","Hashmat Khan, Manjeet Kullar, Kunika","Action, Crime, Horror"
*Chingariyan*,,Danny Denzongpa,
*Chor Pe Mor*,Kapil Kapoor,"Naseeruddin Shah, Karan Shah, Neelam",
*C.I.D.*,Ajay Goel,"Vinod Khanna, Amrita Singh, Suresh Oberoi",
*College Girl*,,"Amita Nangia, Pankaj Berry, Veerendra Singh",
*Dil*,Indra Kumar,"Aamir Khan, Madhuri Dixit, Anupam Kher, Saeed Jaffrey","Comedy, Drama, Romance"
*Din Dahade*,Yash Chauhan,,
*Disha*,Sai Paranjape,"Shabana Azmi, Nana Patekar, Raghuvir Yadav","Comedy, Drama, Musical"
*Deewana Mujh Sa Nahin*,Nageshwara Rao,"Aamir Khan, Madhuri Dixit",Romance
*Doodh Ka Karz*,Ashok Gaikwad,"Jackie Shroff, Neelam, Prem Chopra","Action, Crime, Romance, Thriller"
*Drishti*,Govind Nihalani,"Dimple Kapadia, Shekhar Kapur, Mita Vasisht",Drama
*Dushman*,Shakti Samanta,"Mithun Chakraborty, Mandakini, Sadashiv Amrapurkar",
*Ek Number Ka Chor*,Tajdar Amrohi,"Shagufta Ali, Rita Bhaduri, Aatish Devgan","Action, Crime, Drama"
*Ghar Ho To Aisa*,Kalpataru,"Anil Kapoor, Meenakshi Sheshadri, Raj Kiran",
*Ghar Ki Laxmi*,,Shilpa Shirodkar,
*Ghayal*,Rajkumar Santoshi,"Sunny Deol, Meenakshi Seshadri,","Action, Thriller"
*Gulabi Raaten*,P. Venu,"Devan, Raj Mohan, Pramila",Crime
*Gunahon Ka Devta*,Kawal Sharma,"Sangeeta Bijlani, Mithun Chakraborty, Chandrashekhar",Action
*Haar Jeet*,Avtar Bhogal,"Kabir Bedi, Shafi Inamdar, Puneet Issar",
*Hatim Tai*,Babubhai Mistry,"Jeetendra, Sangeeta Bijlani, Sonu Walia",Fantasy
*Hamari Shaadi*,Basu Chatterjee,Akhil Mishra,
*Hum Se Na Takrana*,Dipak Bahry,"Master Bhagwan, Mithun Chakraborty, Leena Das","Action, Crime, Drama, Horror"
*Izzatdaar*,K. Bapaiah,"Dilip Kumar, Govinda, Madhuri Dixit, Raghuvaran","Drama, Thriller"
*Jagira*,,Danny Denzongpa,
*Jai Shiv Shankar*,S.A. Chandrashekhar,"Rajesh Khanna, Jeetendra, Dimple Kapadia",
*Jamai Raja*,A. Kodandarami Reddy,"Anil Kapoor, Madhuri Dixit, Hema Malini",Drama
*Jaan-E-Wafa*,Rukun,"Farooq Shaikh, Rati Agnihotri, Pradeep Khayyam",
*Jeene Do*,,"Sanjay Dutt, Jackie Shroff, Farha Naaz",Action
*Jeevan Ek Sanghursh*,Rahul Rawail,"Rakhee Gulzar, Anil Kapoor, Madhuri Dixit",
*Kaafila*,Sudhanshu Hakku,"Sadashiv Amrapurkar, Joy Augustine, Juhi Chawla","Drama, Thriller"
*Kaarnama*,Ranjeet,"Vinod Khanna, Satyendra Kapoor, Kimi Katkar",
*Kafan*,Dhirendra Bohra,"Tina Ghai, Jamuna, Huma Khan",Horror
*Kali Ganga*,Raj N. Sippy,"Dimple Kapadia, Govinda, Suresh Oberoi",Action
*Kanoon Ki Zanjeer*,P. Lakshman,,
*Karishma Kali Kaa*,Ashok Punjabi,"Urmila Bhatt, Anil Dhawan, C.S. Dubey",
*Kasam Dhande Ki*,T. Gautam Bhatia,"Master Bhagwan, Suresh Bhai, Birbal","Action, Crime, Drama, Comedy"
*Khatarnaak*,,"Sanjay Dutt, Anita Raj, Farha Naaz","Action, Crime, Drama"
*Kishen Kanhaiya*,Rakesh Roshan,"Anil Kapoor, Madhuri Dixit, Shilpa Shirodkar, Amrish Puri","Drama, Sentiment"
*Pratibandh*,Ravi Raja Pinisetty,"Chiranjeevi, Juhi Chawla, Rami Reddy",Action
*Police Public*,Esmayeel Shroff,"Vijay Aidasani, Jayshree Arora, Ila Arun","Action, Crime, Drama"
*Pyaar Ka Toofan*,S.M. Iqbal,"Aditya Pancholi, Vijayata Pandit, Jamuna, Pran",
*Pyar Ka Karz*,K. Bapaiah,"Vikas Anand, Asrani, Bharat Bhushan",
*Pyar Ke Naam Qurbaan*,B. Subhash,"Mithun Chakraborty, Dimple Kapadia, Mandakini","Action, Crime, Drama, Romance"
*Pyasi Nigahen*,,"Birbal, Sahila Chaddha, Ajinkya Deo",Thriller
*Qatil Jawani*,,"Babloo, Hari, Harish","Crime, Drama, Thriller"
*Qayamat Ki Raat*,Harvey-Pappu,,
*Raeeszada*,Bharat Kapoor,"Govinda, Shashi Kapoor, Asha Parekh",
*Roti Kee Keemat*,Ramesh Ahuja,"Sadashiv Amrapurkar, Rana Jung Bahadur, Mithun Chakraborty, Pran","Action, Crime, Drama"
*Sailaab*,Deepak Balraj,"Aditya Pancholi, Madhuri Dixit, Shafi Inamdar","Action, Romance"
*Sapne Huye Sakaar*,Prema Karanth,,
*Shadyantra*,Rajan Johri,"Ishrat Ali, Raj Babbar, Urmila Bhatt","Action, Crime, Drama"
*Shaitani Ilaaka*,Kiran Ramsay,"Sunil Dhawan, Shehnaz Kudia, Neelam Mehra",Horror
*Shandaar*,,"Birbal, Mithun Chakraborty, Juhi Chawla",
*Shararat*,,"Rakesh Roshan, Shubha",
*Sher Dil*,Jagdish Sidana,"Dharmendra, Gulshan Grover, Rohini Hattangadi","Action, Crime, Drama"
*Shera Shamshera*,S.R. Pratap,,
*Sheshnaag*,K.R. Reddy,"Jeetendra, Rekha, Rishi Kapoor",
*Shiva*,Ram Gopal Verma,"Nagarjuna, Amala, Raghuvaran","Action, Drama"
*Sun Sajna*,,"Sheela David, Rajshri Nair",
*Swarg*,David Dhawan,"Rajesh Khanna, Govinda, Juhi Chawla",Drama
*Tadap*,,Chunky Pandey,
*Taqdeer Ka Tamasha*,Anand Gaekwad,"Sadashiv Amrapurkar, Moushumi Chatterjee, Suresh Chatwal","Action, Crime, Drama"
*Teri Talash Mein*,,"Amala, Rana Jung Bahadur, Rita Bhaduri","Crime, Drama,Romance, Thriller"
*Tejaa*,Ramnesh Puri,"Sanjay Dutt, Kimi Katkar, Sonu Walia",Action
*Thanedaar*,Raj Sippy,"Jeetendra, Sanjay Dutt, Jayapradha","Action, Crime, Drama"
*Thodasa Roomani Ho Jaayen*,Amol Palekar,"Anita Kanwar, Nana Patekar, Riju Bajaj","Drama, Musical"
*Tum Mere Ho*,Tahir Hussain,"Aamir Khan, Juhi Chawla",Romance
*Veeru Dada*,K.R. Reddy,"Dharmendra, Amrita Singh, Aditya Pancholi","Action, Drama, Adventure"
*Zahreelay*,Jyotin Goel,"Jeetendra, Sanjay Dutt, Chunky Pandey",Action
*Zakhmi Zameen*,Mahendra Shah,Ishrat Ali,Drama
*Zimmedaaar*,Santosh Kumar Chauhan,"Rajiv Kapoor, Anita Raj, Kimi Katkar",
*15 August*,Vicky Ranawat,"Prem Chopra, Tisca Chopra, Saeed Jaffrey",,
*Aadmi*,Arshad Khan,"Mithun Chakraborty, Gauthami","Action, Crime, Drama, Romance",
*Aadmi Khilona Hai*,J. Om Prakash,"Jeetendra, Reena Roy, Govinda, Meenakshi Sheshadri","Drama, Romance",
*Aag Ka Toofan*,Kanti Mehta,"Shashi Kapoor, Dharmendra, Farheen",,
*Aaina*,Deepak Sareen,"Jackie Shroff, Juhi Chawla, Amrita Singh",Romance,
*Aaja Meri Jaan*,Ketan Anand,"Krishna Kumar, Tanya Singh, Shammi Kapoor, Pran",Romance,
*Aakhri Chetawani*,Deva Dutta,"Sadashiv Amrapurkar, Raj Babbar, Shakti Kapoor",,
*Aandha Intaquam*,Swaroop Kumar,"Siddharth, Shanti Priya, Ronit Roy",Action,
*Aankhen*,David Dhawan,"Govinda, Chunky Pandey, Ritu Shiv Puri",Comedy,
*Aashiq Awara*,Umesh Mehra,"Saif Ali Khan, Mamta Kulkarni",Romance,
*Aasoo Bane Angaarey*,Mehul Kumar,"Bindu, Jeetendra, Madhuri Dixit",Drama,
*Anari*,K. Muralimohana Rao,"Karisma Kapoor, Daggubati Venkatesh",,
*Andha Insaaf*,,Divya Bharti,,
*Anmol*,Ketan Desai,"Rishi Kapoor, Manisha Koirala",,
*Anth*,Sanjay Khanna,"Sunil Shetty, Somy Ali, Paresh Rawal",Action,
*Antim Nyay*,Sukhwant Dhadda,"Arun Bakshi, C.S. Dubey, Sundeep Kashyap",,
*Ashaant*,Kavita Ramsay,"Akshay Kumar, Mamta Kulkarni",,
*Aulad Ke Dushman*,Rajkumar Kohli,"Raj Babbar, Ayesha Jhulka",Drama,
*Baaghi Sultana*,R. Thakur,"Puneet Issar, Shakti Kapoor, Arif Khan",,
*Baazigar*,Abbas-Mustan,"Shah Rukh Khan, Kajol, Shilpa Shetty",Thriller,
*Badi Bahen*,Kalpataru,"Asrani, Raj Babbar, Chandrashekhar",,
*Balmaa*,Lawrence D'Souza,"Saeed Jaffrey, Ayesha Jhulka, Anjana Mumtaz",Romance,
*Bechain*,Kawal Sharma,"Sidhant Salaria, Malvika Tiwari, Raza Murad",,
*Bedardi*,Krishnakant Pandya,"Ajay Devgn, Urmila Matondkar, Reena Roy","Action, Crime",
*Bhagyawan*,S.K. Subash,"Govinda, Juhi Chawla, Pran, Asha Parekh, Aruna Irani, Ranjeet",,
*Bhaji on the Beach*,Gurinder Chadha,"Kim Vithana, Jimmi Harkishin, Sarita Khajuria",Comedy,
*Bhookamp*,Gautam Adhikari,"Jeetendra, Mohan Joshi, Mamta Kulkarni","Action, Drama, Family, Romance",
*Bomb Blast*,Deepak Balraj Vij,"Ronit Roy, Aditya Pancholi, Kishori Shahane",,
*Boy Friend*,Ramesh U. Lakhiani,"Sheeba, Ravi Behl, Kiran Kumar",Romance,
*Chahoonga Main Tujhe*,Kamal,Harish Patel,,
*Chandra Mukhi*,Debaloy Dey,"Salman Khan, Sridevi, Pran",,
*Chooriyan*,Sai Paranjape,,,
*Chor Aur Chaand*,Pavan Kaul,"Aditya Pancholi, Pooja Bhatt, Aruna Irani",,
*Dalaal*,Partho Ghosh,"Mithun Chakraborty, Ayesha Jhulka, Ravi Behl","Drama, Family",
*Damini – Lightning*,Rajkumar Santoshi,"Meenakshi Seshadri, Sunny Deol, Rishi Kapoor",Drama,
*Darr*,Yash Chopra,"Sunny Deol, Juhi Chawla, Shah Rukh Khan",Thriller,
*Dhanwaan*,K. Vishwanath,"Ajay Devgan, Karishma Kapoor, Manisha Koirala","Romance, Drama",
*Dhartiputra*,Iqbal Durrani,"Jayapradha, Rishi Kapoor",,
*Dil Ki Baazi*,Anil Ganguly,"Akshay Kumar, Ayesha Jhulka",,
*Dil Tera Aashiq*,Lawrence d'Souza,"Salman Khan, Madhuri Dixit","Romance, Comedy",
*Divya Shakti*,Sameer Malkan,"Ajay Devgn, Raveena Tandon",Action,
*Dosti Ki Saugandh*,Mohanji Prasad,"Shakti Kapoor, Shammi Kapoor, Kader Khan, Pran",,
*Ek Hi Raasta*,Deepak Bahry,"Ajay Devgn, Raveena Tandon","Action, Adventure, Family, Thriller",
*Game*,,"Naseeruddin Shah, Aditya Pancholi, Rahul Roy, Sangeeta Bijlani","Action, Crime, Drama",
*Gardish*,Priyadarshan,"Jackie Shroff, Raj Babbar, Dimple Kapadia, Annu Kapoor","Crime, Drama",
*Geetanjali*,Shakti Samanta,"Jeetendra, Rekha, Vijay Arora",Drama,
*Ghar Aaya Mera Pardesi*,Ravindra Peepat,"Bhagyashree, Vikram Gokhale, Gulshan Grover","Action, Drama, Romance",
*Ghar Ki Laaj*,Kalpataru,,,
*Gumrah*,Mahesh Bhatt,"Sanjay Dutt, Sridevi, Anupam Kher","Action, Crime, Drama, Thriller",
*Gunaah*,Mahesh Bhatt,"Sunny Deol, Dimple Kapadia, Sumeet Saigal",,
*Gurudev*,Vinod Mehra,"Rishi Kapoor, Sridevi, Anil Kapoor, Pran",Romance,
*Hag Toofan*,Kati Shah,"Sadashiv Amrapurkar, Asrani, Sudhir Dalvi",,
*Hasti*,,"Jackie Shroff, Naseeruddin Shah, Nagma",Action,
*Hum Hain Kamaal Ke*,Vijay Reddy,"Sheeba, Sujoy Mukherjee, Kader Khan","Action, Comedy, Crime, Drama",
*Hum Hain Rahi Pyar Ke*,Mahesh Bhatt,"Aamir Khan, Juhi Chawla",Romance,
*In Custody*,Ismail Merchant,"Om Puri, Shashi Kapoor",,
*Insaniyat Ke Devta*,K.C. Bokadia,"Vikas Anand, Rakesh Bedi, Rita Bhaduri","Action, Crime, Drama, Romance",
*Izzat Ki Roti*,K. Pappu,"Urmila Bhatt, Birbal, Juhi Chawla","Drama, Family",
*Jaagruti*,Suresh Krissna,"Salman Khan, Karisma Kapoor",Musical,
*Jeevan Ki Shatranj*,S.A. Chandrashekhar,"Mithun Chakraborty, Farha Naaz","Action, Crime, Drama, Romance",
*Kabhi Haan Kabhi Naa*,Kundan Shah,"Shah Rukh Khan, Naseeruddin Shah, Suchitra Krishnamoorthi",Romance,
*Kala Coat*,Mehmood Khan,"Tom Alter, Master Bhagwan, Khalil Bhukhari","Action, Crime, Drama, Romance",
*Kasam Teri Kasam*,Raman Kumar,"Krishna Kumar, Kanchan, Kunika",Romance,
*Kayda Kanoon*,Pradeep Mani,"Akshay Kumar, Shikha Swaroop",,
*Khal-Naaikaa*,,"Jeetendra, Jayapradha, Anu Agrawal","Crime, Drama, Thriller",
*Khalnayak*,Subhash Ghai,"Sanjay Dutt, Madhuri Dixit, Jackie Shroff","Action, Drama",
*Khoon Ka Sindoor*,Amrish Sehgal,"Siddharth, Upasna Singh, Kunika",,
*Khuda Gawah*,Mukul.S.Anand,Sridevi and Amitabh Bachchan,Drama,
*King Uncle*,Rakesh Roshan,"Jackie Shroff, Shah Rukh Khan, Niveditha Saraf",Drama,
*Kohraa*,Partho Ghosh,"Arman Kohli, Ayesha Jhulka, Pran","Mystery, Thriller",
*Krishan Avtaar*,Ashok Gaikwad,"Mithun Chakraborty, Somy Ali, Hashmat Khan",Action,
*Kshatriya*,J. P. Dutta,"Sunil Dutt, Dharmendra, Vinod Khanna, Sanjay Dutt, Sunny Deol",Action,
*Kundan*,K.C. Bokadia,"Dharmendra, Jayapradha, Amrish Puri",Drama,
*Lootere*,Dharmesh Darshan,"Pooja Bedi, Juhi Chawla, Sunny Deol","Action, Drama, Musical, Romance",
*Maya*,Ketan Mehta,"Deepa Sahi, Farooq Shaikh, Raj Babbar","Drama, Mystery, Romance",
*Maya Memsaab*,Ketan Mehta,"Deepa Sahi, Farooq Sheikh, Shahrukh Khan",Romance,
*Meharbaan*,,"Sadashiv Amrapurkar, Mithun Chakraborty, Ayesha Jhulka",,
*Meri Aan*,Roopesh Kumar,"Chandrashekhar, Sanjay Dutt, Farheen","Drama, Family, Romance",
*Muqabla*,T. Rama Rao,"Govinda, Karisma Kapoor, Farha Naaz","Action, Crime, Drama, Thriller",
*Papeeha*,Sai Paranjape,"Milind Gunaji, Veeni Paranjape Joglekar, Raghuvir Yadav",,
*Pardesi*,Raj N. Sippy,"Mithun Chakraborty, Sumalatha, Pankaj Dheer, Shakti Kapoor",Action,
*Pehchaan*,Deepak Shivdasani,"Sunil Shetty, Saif Ali Khan, Shilpa Shirodkar, Madhoo","Romance, Drama",
*Pehla Nasha*,,"Deepak Tijori, Pooja Bhatt, Raveena Tandon",,
*Phir Teri Kahani Yaad Aayee*,Mahesh Bhatt,"Pooja Bhatt, Rahul Roy, Pooja Bedi","Romance, Drama",
*Phool*,Singeetham Srinivasa Rao,"Maya Alagh, Rajni Bala, Naina Behl",,
*Phool Aur Angaar*,Ashok Gaekwad,"Mithun Chakraborty, Shantipriya",,
*Phoolan Hasina Ramkali*,Kanti Shah,"Kirti Singh, Sudha Chandran, Tahir Khan",,
*Platform*,Deepak Pawar,"Ajay Devgn, Tisca Chopra, Priya","Action, Family",
*Police Wala*,Sikander Bharti,"Arun Bakshi, Shakti Kapoor, Viju Khote",,
*Prateeksha*,Lawrence D'Souza,"Vikas Anand, Master Bunty, Chandrashekhar","Action, Crime",
*Pratimurti*,Bimal Dutt,"Raakhee, Rajendra Gupta, Sadhu Meher",,
*Professor Ki Padosan*,S.L. Soni,"Sanjeev Kumar, Padmini Kolhapure, Shekhar Suman",,
*Pyar Pyar*,Sunil R. Prasad,"Beena Banerjee, Kishore Anand Bhanushali, Isha Gupta","Action, Drama, Romance",
*Rajdhani*,,Kodi Ramakrishna,,
*Rang*,Talat Jani,"Kamal Sadanah, Divya Bharti, Jeetendra, Amrita Singh,",,
*Rani Aur Maharani*,Kanti Shah,"Ishrat Ali, Sadashiv Amrapurkar, Damini",,
*Raunaq*,Bobby Tappia,"Priyanka, Neeraj Kumar, Subbiraj",,
*Roop Ki Rani Choron Ka Raja*,Satish Kaushik,"Anil Kapoor, Sridevi, Anupam Kher, Paresh Rawal, Jackie Shroff",Drama,
*Rudaali*,Kalpana Lajmi,"Dimple Kapadia, Raakhee, Amjad Khan",Drama,
*Sadhna*,K. Ravi Shankar,"Raj Babbar, Krishan Dhawan, Mangal Dhillon",Drama,
*Sahibaan*,Ramesh Talwar,"Rishi Kapoor, Sanjay Dutt, Madhuri Dixit","Romance, Drama",
*Sainik*,Sikander Bhartee,"Akshay Kumar, Ashwini Bhave, Farheen",,
*Sangram*,Lawrence D'Souza,"Ajay Devgn, Ayesha Jhulka, Karisma Kapoor","Drama, Romance",
*Santaan*,Narayana Rao Dasari,"Jeetendra, Moushumi Chatterjee, Deepak Tijori",,
*Sardar*,Ketan Mehta,Paresh Rawal,"Biography, Drama",
*Shaktimaan*,K.C. Bokadia,"Ajay Devgn, Karisma Kapoor, Mukesh Khanna","Action, Crime, Drama, Romance",
*Shatranj*,Aziz Sajawal,"Jackie Shroff, Divya Bharti, Juhi Chawla, Mithun Chakraborty, Kader Khan","Comedy, Drama, Romance",
*Shiv Teri Mahima Nyari*,Suresh Sinh Gohil,Lalita Pawar,,
*Shreemaan Aashique*,Deepak Anand,"Rishi Kapoor, Urmila Matondkar, Bindu",Comedy,
*Sir*,Mahesh Bhatt,"Naseeruddin Shah, Pooja Bhatt, Atul Agnihotri","Crime, Drama",
*Tadipaar*,Mahesh Bhatt,"Mithun Chakraborty, Pooja Bhatt, Anupam Kher",,
*Tahqiqaa*,A. Jagannath,"Mahesh Anand, Sulabha Arya, Laxmikant Berde",Crime,
*Pyaar Ka Tarana*,Dev Anand,"Manu Gargi, Anita Ayoob, Akshay Anand","Musical, Drama",
*Mahakaal*,Ramsay Bros,"Karan Shah, Archana Puran Singh, Johnny Lever",Horror,
*Suraj Ka Satvan Ghoda*,Shyam Benegal,"Riju Bajaj, Neena Gupta, Pallavi Joshi","Drama, Romance",
*Tum Karo Vaada*,Robin Khosla,"Nafisa Ali, Birbal, Shammi Kapoor",Romance,
*Waqt Hamara Hai*,Bharat Rangachary,"Akshay Kumar, Sunil Shetty, Ayesha Jhulka, Mamta Kulkarni","Action, Romance",
*Yugandhar*,N. Chandra,"Mithun Chakraborty, Kabir Bedi, Sangeeta Bijlani",,
*Zakhmi Rooh*,Pawan Kumar,"Moon Moon Sen, Javed Jaffrey, Raj Kiran",,
*Zakhmo Ka Hisaab*,Talukdaars,"Govinda, Farha Naaz, Kiran Kumar","Action, Crime, Drama",
*Aaj Ka Goonda Raaj*,Ravi Raja,"Chiranjeevi, Meenakshi Sheshadri, Raj Babbar","Action, Thriller, Family",Anand-Milind
*Aaj Ki Taaqat*,Anil Nagrath,"Sunil Puri, Upasana Singh, Jaya Mathur",Action,
*Aasmaan Se Gira*,Pankaj Parashar,"Abhishek Chitlangia, Raghuvir Yadav, Anupam Kher",,
*Adharm*,Aziz Sajawalq,"Shabana Azmi, Shatrughan Sinha, Sanjay Dutt",Thriller,Anand-Milind
*Agar Aap Chahein*,Mazahir Rahim,Makarand Deshpande,Family,
*Ajeeb Dastaan Hai Yeh*,J. Om Prakash,"Vikas Anand, Rita Bhaduri, Suraj Chaddha",Drama,
*Angaar*,Shashilal. K. Nair,"Jackie Shroff, Dimple Kapadia, Om Puri","Action, Drama",Laxmikant-Pyarelal
*Anaam*,Ramesh Modi,"Arman Kohli, Ayesha Jhulka, Kiran Kumar","Action, Drama, Thriller",Nadeem-Shravan
*Apradhi*,K. Ravi Shankar,"Anil Kapoor, Vijayashanti",,Laxmikant-Pyarelal
*Baaz*,S. Subhash,"Govinda, Sonam, Tinu Anand, Archana Puran Singh",Drama,Anand-Milind
*Balwaan*,Deepak Anand,"Sunil Shetty, Divya Bharati, Danny Denzongpa",Action,Mahesh Kishore
*Basanti Tangewali*,Kranti Shah,"Ashrat Ali, Sadashiv Amrapurkar, Avtar Gill",,
*Bekhudi*,Rahul Rawail,"Kajol, Kamal Sadanah, Ajay Mankotia, Tanuja, Vijayendra Ghatge",Romance,Nadeem-Shravan
*Beta*,Indra Kumar,"Anil Kapoor, Madhuri Dixit, Aruna Irani",Drama,Anand-Milind
*Bewaffa Se Waffa*,Saawan Kumar Tak,"Vivek Mushran, Juhi Chawla, Nagma, Pran",Romance,Usha Khanna
*Bol Radha Bol*,David Dhawan,"Rishi Kapoor, Juhi Chawla, Kader Khan","Comedy, Drama",Anand-Milind
*Chamatkar*,Rajiv Mehra,"Shah Rukh Khan, Urmila Matondkar, Naseeruddin Shah, Shammi Kapoor","Fantasy, Comedy",Anu Malik
*Cheluvi*,Girish Karnad,"Girish Karnad, Sonali Kulkarni, Prashant Rao",,
*Current*,K. Hariharan,"Om Puri, Deepti Naval, Shreeram Lagoo",Drama,
*Daku Aur Police*,,Naseeruddin Shah,,
*Daulat Ki Jung*,S. A. Kadher,"Aamir Khan, Juhi Chawla, Shafi Inamdar","Action, Drama",Anand-Milind
*Deedar*,Pramod Chakravarthy,"Akshay Kumar, Karishma Kapoor","Action, Romance",Anand-Milind
*Deewana*,Raj Kanwar,"Rishi Kapoor, Divya Bharti, Shah Rukh Khan",Romance,Nadeem-Shravan
*Dharavi*,Sudhir Mishra,"Shabana Azmi, Pramod Bala, Madhuri Dixit","Crime, Drama",
*Dil Aashna Hai*,Hema Malini,"Divya Bharti, Shahrukh Khan, Amrita Singh, Dimple Kapadia, Sonu Walia,",Romance,Anand-Milind
*Dil Hi To Hai*,Asrani,"Jackie Shroff, Divya Bharti, Shilpa Shirodkar",Drama,Laxmikant-Pyarelal
*Dil Ka Kya Kasoor*,Lawerence D'Souza,"Prithvi, Divya Bharti",Romance,Nadeem-Shravan
*Dilwale Kabhi Na Hare*,V. Menon,"Rahul Roy, Prithvi, Nagma",Romance,Nadeem-Shravan
*Do Hanso Ka Joda*,Talwar G D,"Anupam Kher, Beena Banerjee, Kanchan (actress), Mohan Kumar, Pran, Reema 
Lagoo",,
*Drohi*,"Gurudeep Sing, Ram Gopal Varma","Nagarjuna Akkineni, Urmila Matondkar, Danny Denzongpa",,
*Dushman Zamana*,,"Divya Bharti, Arman Kohli, Paresh Rawal",,Shyam-Surender
*Ek Ladka Ek Ladki*,Lawrence D'Souza,"Salman Khan, Neelam, Anupam Kher",Thriller,Anand-Milind
*Ganga Bani Shola*,,"Jamuna, Shakti Kapoor, Kader Khan",,
*Ganga Ka Vachan*,Gulshan Ashte,"Avtar Gill, Gulshan Grover, Dinesh Hingoo",Action,
*Geet*,Partho Ghosh,"Avinash Wadhavan, Divya Bharti, Laxmikant Berde",,Bappi lahiri
*Ghar Jamai*,Arun Bhatt,"Rita Bhaduri, Mithun Chakraborty, Varsha Usgaonkar, Shakti Kapoor, Prem 
Chopra","Drama, Comedy, Family",Anand-Milind
*Ghazab Tamasha*,Ranjeet,"Rahul Roy, Anu Agrawal, Tanuja",Family,Anand-Milind
*Heer Ranjha*,Harmesh Malhotra,"Anil Kapoor, Sridevi, Anupam Kher",Romance,Laxmikant-Pyarelal
*Honeymoon*,Surendra Mohan,"Rishi Kapoor, Varsha Usgaonkar, Ashwini Bhave","Comedy, Drama",Anand-Milind
*Humlaa*,N. Chandra,"Ashok Kumar, Dharmendra, Anil Kapoor, Kimi Katkar",Action,Laxmikant-Pyarelal
*Humshakal*,Kalptaru,"Shammi Kapoor, Vinod Khanna, Nirupa Roy, Meenakshi Sheshadri",,Laxmikant-Pyarelal
*I Love You*,,"Prashanth, Sabah, Tanuja, Beena, Reema Lagoo, Laxmikant Berde, Asrani",Romance,Ram Laxman
