Title,Director,Cast,Genre
*Satya*,Ram Gopal Varma,"J. D. Chakravarthy, Urmila Matondkar, Manoj Bajpai",Action
*Sham Ghansham*,Ashok Ghai,"Raakhee, Chandrachur Singh, Arbaaz Khan",Drama
*Sher Khan*,Ambrish Sangal,"Rita Bhaduri, Dharmendra",
*Soldier*,Abbas-Mustan,"Bobby Deol, Preity Zinta","Romance, Action, Thriller"
*Tirchhi Topiwale*,Nadeem Khan,"Inder Kumar, Chunky Pandey, Monica Bedi","Comedy, Drama"
*Train to Pakistan*,Pamela Rooks,"Nirmal Pandey, Rajit Kapur, Divya Dutta","Drama, War"
*Ustadon Ke Ustad*,T L V Prasad,"Mithun Chakraborty, Jackie Shroff, Madhoo",
*Vinashak - Destroyer*,Ravi Deewan,"Sunil Shetty, Raveena Tandon",Action
*Wajood*,N. Chandra,"Madhuri Dixit, Nana Patekar",Drama
*Yamraaj*,Rajiv Babbar,"Mithun Chakraborty, Jackie Shroff, Sneha, Mink Singh",
*Yugpurush*,Partho Ghosh,"Nana Patekar, Jackie Shroff, Manisha Koirala",Drama
*Zakhm*,Mahesh Bhatt,"Ajay Devgan, Sonali Bendre, Pooja Bhatt, Akkineni Nagarjuna",Nadeem-Shravan
*Zanjeer*,Yusuf Bhat,"Aditya Pancholi, Sakshi Shivanand, Monica Bedi, Shakti Kapoor, Satish Kaul",Action
*Zor*,Sangeeth Sivan,"Sunny Deol, Sushmita Sen","Action, Crime, Drama"
*Zulm-O-Sitam*,K. C. Bokadia,"Mahesh Anand, Vikas Anand, Kishore Anand Bhanushali",Action
*Aar Ya Paar*,Ketan Mehta,"Jackie Shroff, Deepa Sahi","Romance, Crime"
*Aastha: In the Prison of Spring*,Basu Bhattacharyya,"Rekha, Om Puri",
*Aflatoon*,Guddu Dhanoa,"Akshay Kumar, Urmila Matondkar",Action
*Agni Morcha*,Raju Chutani,"Dharmendra, Mukesh Khanna, Ravi Kishan",Action
*Agnichakra*,Amit Suryavanshi,"Naseeruddin Shah, Govinda, Dimple Kapadia, Somy Ali",Action
*Aur Pyaar Ho Gaya*,Rahul Rawail,"Bobby Deol, Aishwarya Rai",Romance
*Auzaar*,Sohail Khan,"Salman Khan, Shilpa Shetty, Sanjay Kapoor",Action
*Banarasi Babu*,,"Govinda, Ramya, Kader Khan",
*Bhai*,Deepak Shivdasani,"Sunil Shetty, Sonali Bendre, Pooja Batra",Action
*Bhoot Bhungla*,Aziz Sejawal,"Govinda, Chunky Pandey",
*Border*,J. P. Dutta,"Sunny Deol, Jackie Shroff, Sunil Shetty, Akshaye Khanna, Pooja Bhatt, Tabu",War
*Chachi 420*,Kamal Hassan,"Kamal Hassan, Tabu, Amrish Puri, Om Puri",
*Chupp*,Ambrish Sangal,"Jeetendra, Somy Ali, Om Puri",
*Daava*,,"Akshay Kumar, Raveena Tandon, Divya Dutta","Action, Comedy, Romance"
*Darmiyaan*,Kalpana Lajmi,"Kiron Kher, Tabu",
*Daud*,Ram Gopal Varma,"Sanjay Dutt, Urmila Matondkar","Romance, Crime"
*Deewana Mastana*,David Dhawan,"Anil Kapoor, Govinda, Juhi Chawla, Anupam Kher, Raveena Tandon",Romantic comedy
*Dil Deewana Maane Na*,Naresh Malhotra,"Govinda, Manisha Koirala",
*Dil To Pagal Hai*,Yash Chopra,"Shahrukh Khan, Karisma Kapoor, Madhuri Dixit, Akshay Kumar","Comedy, Drama, Romance"
*Dhaal*,Sameer Malkan,"Vinod Khanna, Sunil Shetty, Gautami",Action
*Do Ankhen Barah Hath*,Kirti Kumar,"Govinda, Madhuvanti",
*Dus*,Mukul S. Anand,"Sanjay Dutt, Salman Khan, Raveena Tandon, Shilpa Shetty",Action
*Ek Phool Teen Kante*,Anup Malik,"Vikas Bhalla, Monica Bedi",
*Ghoonghat*,,"Inder Kumar, Ayesha Jhulka",Romance
*Ghulam-E-Musthafa*,Partho Ghosh,"Nana Patkar, Raveena Tandon, Paresh Rawal","Actin, Crime, Drama"
*Gudia*,"Gautam Ghose, Pran",,
