Opening,,Title,Director,Cast,Genre,
*SEP*,*3*,"*Three – Love, Lies and Betrayal*",Vishal Pandya,"Aashish Chaudhary, Akshay Kapoor Nausheen Ali Sardar",Thriller,
,*4*,*Aagey Se Right*,Indrajit Nattoji,"Shreyas Talpade, Shanti Pandit, Mahi Gill, Kay Kay Menon, Shruti Seth, Shenaz 
Treasurywala",Comedy,
,,*Chintu Ji*,Ranjit Kapoor,"Rishi Kapoor, Priyanshu Chatterjee, Kulraj Randhawa",Comedy,
,,*Fox*,Deepak Tijori,"Arjun Rampal, Sagarika Ghatge, Udita Goswami, Sunny Deol, Vipul Gupta",Drama,
,*11*,*Aamras*,Rupali Guha,"Jiya Sarang, Pari Sehgal, Rakhi Chadda, Sanya Balsara, Zarina Wahab, Reema, 
Sukanya Kulkarni, Shubhi, Vikram Kapadia, Usha Bachani, Sonali Sachdev, 
Meher, Sunil Sinha, Manoj Pahwa",Drama,
,,*Baabarr*,Ashu Trikha,"Soham Deepak, Mithun Chakraborty, Urvashi Sharma",Action,
,,*Phir Kabhi*,Pradeep Guha,"Mithun Chakraborty, Dimple Kapadia, Gulshan Grover, Rati Agnihotri",Drama,
,,*Vaada Raha*,Samir Karnik,"Bobby Deol, Kangana Ranaut, Dwij Yadav, Atul Agnihotri",Romance,
,*18*,*Dil Bole Hadippa!*,Anurag Singh,"Shahid Kapoor, Rani Mukerji, Anupam Kher, Dalip Tahil, Rakhi Sawant, Sherlyn 
Chopra","Romantic comedy, Sports",
,,*Wanted*,Prabhu Deva,"Salman Khan, Ayesha Takia, Prakash Raj, Vinod Khanna, Mahesh Manjrekar","Action, Romance",
,,*Blue Oranges*,Rajesh Ganguly,"Rajat Kapoor, Shishir Sharma, Aham Sharma, Puja Kanwal, Rati Agnihotri, 
Harsh Chhaya",Thriller,
,*25*,*What's Your Raashee?*,Ashutosh Gowarikar,"Harman Baweja, Priyanka Chopra",Romantic comedy,
*OCT*,*2*,*Do Knot Disturb*,David Dhawan,"Govinda, Ritesh Deshmukh, Lara Dutta, Sushmita Sen, Sohail Khan, Ranvir 
Shorey, Rajpal Yadav","Comedy, Romance",
,,*Wake Up Sid*,Ayaan Mukherjee,"Ranbir Kapoor, Konkona Sen Sharma, Rahul Khanna, Anupam Kher",Romantic Comedy,
