Title,Genre,Director,Cast
*Mumbai Can Dance Saala*,Drama,Sachindra Sharma,"Ashima Sharma, Prashant Narayanan, Aditya Pancholi, Shakti Kapoor, Rakhi 
Sawant"
*Fireflies*,Drama,Sabal Singh Sheikhawat,"Rahul Khanna, Monica Dogra, Arjun Mathur, Shivani Ghai, Aadya Bedi"
*Roar - Tigers of Sunderbans*,Drama/Action,Kamal Sadanah,"Pulkit Jawahar, Pranay Dixit, Abhinav Shukla, Achint Kaur"
*Super Nani*,Drama,Indra Kumar,"Rekha, Sharman Joshi, Randhir Kapoor, Shweta Kumar"
*Chaar Sahibzaade*,Animation/Historical,Harry Baweja,Animated characters of Guru Gobind Singh and his four sons.
*Rang Rasiya*,Drama,Ketan Mehta,"Randeep Hooda, Nandana Sen, Paresh Rawal, Ashish Vidyarthi, Sachin Khedekar"
*A Decent Arrangement*,Drama,Sarovar Banka,"Shabana Azmi, Adam Laupus, Lethia Nall, Farid Currim, Shreya Sharma, Vikram 
Kapadia, Navniit Nisshan, Adhir Bhat"
*The Shaukeens*,Comedy,Abhishek Sharma,"Akshay Kumar, Anupam Kher, Annu Kapoor, Lisa Haydon, Piyush Mishra"
*6 - 5 = 2*,Found footage / Horror,Bharat Jain,"Prashanth Gupta, Niharica Raizada, Ashruth Jain, Gaurav Kothari, Disha 
Kapoor"
*Kill Dil*,Romance/Drama,Shaad Ali,"Ranveer Singh, Parineeti Chopra, Ali Zafar, Govinda"
*Golu Aur Pappu*,Comedy,Kabir Sadanand,"Vir Das, Kunaal Roy Kapur, Shobhit Rana, Dimple Kapadia, Deepak Tijori"
*Happy Ending*,Romance/Comedy,Raj Nidimoru and Krishna DK,"Saif Ali Khan, Ileana D'Cruz, Govinda, Ranvir Shorey, Kalki Koechlin"
*Titoo MBA*,Romance/Comedy,Amit Vats,"Nishant Dahiya, Pragya Jaiswal, Abhishek Kumar"
*Wah Taj*,Drama,Ajit Sinha,"Shreyas Talpade, Manjari Fadnis, Hemant Pandey, Rajesh Sharma, Vishwajeet 
Pradhan, Rakesh Shrivastav"
*Hum Hai Teen Khurafaati*,Comedy,Rajeshwar Chauhan,"Heena Panchal, Mausam Sharma, Pranshu Kaushal, Shrey Chhabra, Vrajesh Hirjee, 
Hemant Pandey, Razzak Khan, Brijendra Kala, Manoj Bakshi"
*Ungli*,Drama,Rensil D'Silva,"Emraan Hashmi, Randeep Hooda, Kangana Ranaut, Neil Bhoopalam, Angad Bedi, Sanjay 
Dutt"
*Zed Plus*,Drama,Chandraprakash Dwivedi,"Adil Hussain, Mona Singh, Mukesh Tiwari, Sanjay Mishra, Kulbhushan Kharbanda, 
Rahul Singh, Shivani Tanksale, K K Raina, Ekavali Khanna, Anil Rastogi"
*Zid*,Erotica/Thriller,Vivek Agnihotri,"Karanvir Sharma, Barbie Handa, Shraddha Das"
*Action Jackson*,Comedy,Prabhu Deva,"Ajay Devgn, Sonakshi Sinha, Yami Gautam, Manasvi Mamgai, Sonu Sood, Kunaal 
Roy Kapur"
*Bhopal: A Prayer for Rain*,Drama,Ravi Kumar,"Martin Sheen, Mischa Barton, Rajpal Yadav, Tannishtha Chatterjee, Akhil 
Mishra, Fagun Thakrar, Joy Sengupta, Kal Penn, Martin Brambach, David Brooks, 
Vineet Kumar, Satish Kaushik, Vasanth Santosham, Manoj Joshi"
*Mumbai Delhi Mumbai*,Drama,Satish Rajwade,"Shiv Pandit, Piaa Bajpai"
*Sulemani Keeda*,Social/Drama,Amit Masurkar,"Naveen Kasturia, Mayank Tewari, Aditi Vasudev"
*Take It Easy*,Drama,Sunil Prem Vyas,"Vikram Gokhale, Dipannita Sharma, Raj Zutshi, Anang Desai, Joy Sengupta, 
Sulbha Arya, Vijay Kashyap, Supriya Karnik, Jyoti Gauba, Yash Ghanekar, 
Prasad Reddy, Smera Jadhav"
*Badlapur Boys*,Sports,Shailesh Verma,"Shashank Udapurkar, Annu Kapoor, Anupam Maanav, Kishori Shahane, Aman Verma, 
Saranya Mohan"
*Life Mein Twist Hai*,Drama/Romance,Dinesh Soni,Shyam Avtar Kedia
*LUV...Phir Kabhie*,Drama,Ajay Yadav,"Saurabbh Roy, Arijita Roy, Meghna Patel, Narendra Bedi"
*Main Aur Mr. Riight*,Comedy/Romance,Adeeb Rais,"Varun Khandelwal, Danny Saru, Shenaz Treasuryvala, Barun Sobti, Kavi Shastri, 
Maia Sethna, Anagha Mane, Neha Gosain"
*Objection My God*,Comedy,Amit Khan,"Makrand Deshpande, Sanjay Mishra, Rajesh Khattar, Zarina Wahab"
*Room - The Mystery*,Suspense/Thriller,Faizal Khan,"Atif Jamil, Ibra Khan, Roselyn Dsouza, Eshu Gambhir, Himir Gandhi, Rohit 
Juneja, Shashwita Sharma"
*PK*,Comedy/Drama,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sushant Singh Rajput, Sanjay Dutt, Ram Sethi, Boman 
Irani"
*Lingaa*,Action/Thriller,K.S. Ravikumar,"Rajinikanth, Sonakshi Sinha, Jagapathi Babu, Anushka Shetty, Dev Gill, 
Santhanam, Karunakaran, Brahmanandam, Radha Ravi, Vijayakumar, K Vishwanath, 
Manobala, Illavarasu"
*Ugly*,Thriller,Anurag Kashyap,"Abir Goswami, Girish Kulkarni, Madhavi Singh, Ronit Roy, Anshikaa 
Shrivastava, Rahul Bhat, Tejaswini Kolhapure, Sandesh Jadhav"
